season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2019,1,Colgate,Villanova,14,34,False,Patriot,CAA
2019,1,Samford,Youngstown State,22,45,True,Southern,MVFC
2019,1,Florida,Miami,24,20,True,SEC,ACC
2019,1,Hawai'i,Arizona,45,38,False,Mountain West,Pac-12
2019,1,Morehead State,Union College,44,7,False,Pioneer,
2019,1,Murray State,Pikeville,59,20,False,OVC,
2019,1,Chattanooga,Eastern Illinois,24,10,False,Southern,OVC
2019,1,Delaware,Delaware State,31,13,False,CAA,MEAC
2019,1,Richmond,Jacksonville,38,19,False,CAA,Pioneer
2019,1,Stony Brook,Bryant,35,10,False,CAA,NEC
2019,1,Eastern Kentucky,Valparaiso,53,7,False,OVC,Pioneer
2019,1,Bowling Green,Morgan State,46,3,False,Mid-American,MEAC
2019,1,Cincinnati,UCLA,24,14,False,American Athletic,Pac-12
2019,1,Buffalo,Robert Morris,38,10,False,Mid-American,NEC
2019,1,UConn,Wagner,24,21,False,American Athletic,NEC
2019,1,Charlotte,Gardner-Webb,49,28,False,Conference USA,Big South
2019,1,Western Kentucky,Central Arkansas,28,35,False,Conference USA,Southland
2019,1,UCF,Florida A&M,62,0,False,American Athletic,MEAC
2019,1,Southeast Missouri State,Southern Illinois,44,26,False,OVC,MVFC
2019,1,UT Martin,Northwestern State,42,20,False,OVC,Southland
2019,1,Austin Peay,North Carolina Central,41,10,False,OVC,MEAC
2019,1,SE Louisiana,Jacksonville State,35,14,False,Southland,OVC
2019,1,Lamar,Bethel University Tennessee,65,16,False,Southland,
2019,1,North Alabama,Western Illinois,26,17,False,Big South,MVFC
2019,1,Tulane,Florida International,42,14,False,American Athletic,Conference USA
2019,1,Clemson,Georgia Tech,52,14,False,ACC,ACC
2019,1,UAB,Alabama State,24,19,False,Conference USA,SWAC
2019,1,Texas A&M,Texas State,41,7,False,SEC,Sun Belt
2019,1,Central Michigan,UAlbany,38,21,False,Mid-American,CAA
2019,1,Minnesota,South Dakota State,28,21,False,Big Ten,MVFC
2019,1,Northern Arizona,Missouri State,37,23,False,Big Sky,MVFC
2019,1,San José State,Northern Colorado,35,18,False,Mountain West,Big Sky
2019,1,Arizona State,Kent State,30,7,False,Pac-12,Mid-American
2019,1,BYU,Utah,12,30,False,FBS Independents,Pac-12
2019,1,Army,Rice,14,7,False,FBS Independents,Conference USA
