season,week,team,games_played,off_ppa_cum,off_success_cum,off_explosive_cum,def_ppa_cum,def_success_cum,def_explosive_cum,opp_rating_mean,opp_off_ppa_cum_mean,opp_def_ppa_cum_mean
2022,1,Hawai'i,2,-0.0886595006558375,0.3987341772151899,1.1374208402627275,0.4310440716377577,0.492063492063492,1.4925831748655547,19.117043740573195,0.3589946478565387,-0.0221484547649921
2022,1,Vanderbilt,2,0.384195101155811,0.4645669291338583,1.538393061461787,-0.0362720609688015,0.3881578947368421,1.2505187559259143,-2.382956259426889,0.026552226011274105,0.3970920313769537
2022,1,Alabama,1,0.4616492456813624,0.5416666666666666,1.4183748211868092,-0.2325772931177359,0.2203389830508474,1.1572757646546288,-7.716289592760134,0.0228868516654941,0.2638262289299071
2022,1,Utah State,2,0.0228868516654941,0.3642857142857142,1.1403889065975814,0.2638262289299071,0.4647887323943662,1.3952227450348709,14.283710407239694,0.31996212666148066,-0.0793498911519896
2022,1,Arkansas,1,0.2243284314369232,0.380281690140845,1.3967158433089757,0.2427224751656069,0.410958904109589,1.5335660964575153,2.2162895927601394,0.2427224751656069,0.2243284314369232
2022,1,Cincinnati,1,0.2427224751656069,0.410958904109589,1.5335660964575153,0.2243284314369232,0.380281690140845,1.3967158433089757,-2.2162895927601203,0.2243284314369232,0.2427224751656069
2022,1,Auburn,1,0.4373442479997497,0.5483870967741935,1.340438500508894,0.0895926493041591,0.2878787878787879,1.2944035365120534,8.00000000000005,0.4142027625182177,0.1577030474780759
2022,1,Mercer,2,0.4142027625182177,0.4552845528455284,1.4379404037873964,0.1577030474780759,0.4357142857142857,1.15805452078851,-3.999999999999993,0.1863841962495297,0.43982987671932755
2022,1,Florida,1,0.4132533319834936,0.5873015873015873,1.0439975279918254,0.2222642662831223,0.5352112676056338,1.010921143290605,4.216289592760115,0.2222642662831223,0.4132533319834936
2022,1,Utah,1,0.2222642662831223,0.5352112676056338,1.010921143290605,0.4132533319834936,0.5873015873015873,1.0439975279918254,-4.216289592760109,0.4132533319834936,0.2222642662831223
2022,1,Georgia,1,0.7716585889819457,0.6415094339622641,1.4073684306682046,0.0096534642493824,0.46875,0.7036680172669246,-23.00000000000001,0.0096534642493824,0.7716585889819457
2022,1,Oregon,1,0.0096534642493824,0.46875,0.7036680172669246,0.7716585889819457,0.6415094339622641,1.4073684306682046,23.000000000000004,0.7716585889819457,0.0096534642493824
2022,1,Kentucky,1,0.2533770223988537,0.4545454545454545,1.2627019499431424,0.0470544525567885,0.3076923076923077,1.3822433851277978,-6.2837104072398695,0.0470544525567885,0.2533770223988537
