season,week,team,rating_linear
2021,1,Abilene Christian,-18.867781155015205
2021,1,Adams State,-13.632218844984804
2021,1,Air Force,5.867781155015202
2021,1,Akron,-20.36778115501518
2021,1,Alabama,15.499999999999993
2021,1,Alabama A&M,-4.1322188449848145
2021,1,Alabama State,-4.132218844984837
2021,1,Albany State GA,16.632218844984784
2021,1,Alcorn State,-4.499999999999964
2021,1,Alderson-Broaddus,-2.867781155015172
2021,1,Allen,-11.86778115501522
2021,1,American International,7.132218844984796
2021,1,Angelo State,14.632218844984834
2021,1,App State,2.3677811550152077
2021,1,Arizona,-3.999999999999976
2021,1,Arizona State,-0.9999999999999922
2021,1,Arkansas,5.867781155015233
2021,1,Arkansas State,4.867781155015195
2021,1,Arkansas Tech,-13.632218844984761
2021,1,Arkansas-Monticello,-1.132218844984805
2021,1,Arkansas-Pine Bluff,4.367781155015185
2021,1,Army,21.1322188449848
2021,1,Ashland,1.132218844984785
2021,1,Assumption,-4.8677811550151615
2021,1,Auburn,20.36778115501519
2021,1,Augustana University (SD),19.86778115501521
2021,1,Austin Peay,9.6322188449848
2021,1,BYU,3.9999999999999742
2021,1,Ball State,0.3677811550152412
2021,1,Baylor,9.132218844984802
2021,1,Bemidji State,8.632218844984758
2021,1,Benedict College,11.86778115501521
2021,1,Bentley,7.3677811550151775
2021,1,Bethel University Tennessee,-12.367781155015184
2021,1,Bethune-Cookman,15.396656534954422
2021,1,Bloomsburg,-6.367781155015172
2021,1,Bluefield State,-8.132218844984834
2021,1,Boise State,2.1322188449847905
2021,1,Boston College,20.867781155015194
2021,1,Bowie State,0.632218844984809
2021,1,Bowling Green,-11.36778115501523
2021,1,Brevard College,-7.367781155015195
2021,1,Bryant,-7.367781155015151
2021,1,Bucknell,-5.867781155015185
2021,1,Buffalo,26.36778115501512
2021,1,Butler,-16.367781155015223
2021,1,CSU Pueblo,-7.632218844984815
2021,1,Cal Poly,10.132218844984791
2021,1,California,-7.132218844984812
2021,1,Campbell,-15.867781155015207
2021,1,Carson-Newman College,-23.632218844984816
2021,1,Catawba,0.3677811550151808
2021,1,Central Arkansas,-4.867781155015201
2021,1,Central Connecticut,-8.132218844984813
2021,1,Central Michigan,-0.3677811550152008
2021,1,Central Missouri,-14.132218844984802
2021,1,Central Oklahoma,-2.632218844984762
2021,1,Central State (OH),-6.9999999999999885
2021,1,Central Washington,25.632218844984788
2021,1,Chadron St,-1.8677811550151977
2021,1,Charlotte,-3.132218844984801
2021,1,Chattanooga,-9.632218844984802
2021,1,Chowan,7.632218844984789
2021,1,Cincinnati,12.86778115501523
2021,1,Clarion,-7.132218844984833
2021,1,Clark Atlanta,6.132218844984824
2021,1,Clemson,-3.4999999999999947
2021,1,Coastal Carolina,14.36778115501519
2021,1,Colgate,-20.867781155015212
2021,1,Colorado,9.36778115501522
2021,1,Colorado Mesa,13.867781155015221
2021,1,Colorado School Of Mines,14.867781155015189
2021,1,Colorado State,-14.132218844984816
2021,1,Concordia University St Paul,-15.86778115501523
2021,1,Davenport,-13.13221884498479
2021,1,Davidson,-5.867781155015181
2021,1,Delaware,9.632218844984772
2021,1,Delaware State,-0.632218844984805
2021,1,Delta State,12.367781155015166
2021,1,Drake,16.367781155015223
2021,1,Duke,3.1322188449847905
2021,1,Duquesne,-16.367781155015173
2021,1,ERSKINE,-0.36778115501517594
2021,1,East Carolina,-2.367781155015228
2021,1,East Central (OK),-9.367781155015251
2021,1,East Stroudsburg University,5.867781155015202
2021,1,East Tennessee State,14.632218844984777
2021,1,East Texas A&M,7.632218844984806
2021,1,Eastern Illinois,-10.823708206686963
2021,1,Eastern Kentucky,6.132218844984796
2021,1,Eastern Michigan,5.367781155015185
2021,1,Eastern New Mexico,-25.63221884498479
2021,1,Eastern Washington,5.632218844984798
2021,1,Elizabeth City State,-25.13221884498477
2021,1,Elon,-5.632218844984802
2021,1,Emporia State University,20.132218844984813
2021,1,Fairmont State,-9.132218844984795
2021,1,Fayetteville State,25.13221884498478
2021,1,Ferris State,15.367781155015196
2021,1,Findlay,-15.367781155015198
2021,1,Florida,5.867781155015182
2021,1,Florida A&M,-5.132218844984819
2021,1,Florida Atlantic,-5.867781155015186
2021,1,Florida International,14.367781155015216
2021,1,Florida State,-6.132218844984783
2021,1,Fordham,-30.235562310030517
2021,1,Fort Hays State,-8.63221884498483
2021,1,Fort Lewis,-23.13221884498481
2021,1,Fort Valley State,19.632218844984816
2021,1,Franklin Pierce,-3.3677811550152015
2021,1,Fresno State,13.617781155015019
2021,1,Frostburg State,8.13221884498482
2021,1,Furman,0.8677811550152057
2021,1,Gannon,8.132218844984783
2021,1,Gardner-Webb,2.1322188449848314
2021,1,Georgia,3.5
2021,1,Georgia Southern,-2.1322188449848296
