season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2023,8,UT Martin,Charleston Southern,17.0,0.0,False,Big South-OVC,Big South-OVC
2023,8,Mississippi Valley State,Jackson State,6.0,21.0,False,SWAC,SWAC
2023,8,Marietta,Heidelberg,37.0,14.0,False,Ohio,Ohio
2023,8,Valdosta State,Shorter,42.0,14.0,False,Gulf South,Gulf South
2023,8,Northwest Missouri St,Pittsburg St,7.0,28.0,False,Mid America,Mid America
2023,8,East Central (OK),Southern Nazarene,13.0,27.0,False,Great American,Great American
2023,8,Missouri State,Murray State,28.0,24.0,False,MVFC,MVFC
2023,8,Georgetown,Colgate,18.0,28.0,False,Patriot,Patriot
2023,8,Illinois,Wisconsin,21.0,25.0,False,Big Ten,Big Ten
2023,8,Iowa,Minnesota,10.0,12.0,False,Big Ten,Big Ten
2023,8,Nebraska,Northwestern,17.0,9.0,False,Big Ten,Big Ten
2023,8,UAlbany,Rhode Island,35.0,10.0,False,CAA,CAA
2023,8,Tulane,North Texas,35.0,28.0,False,American Athletic,American Athletic
2023,8,Wake Forest,Pittsburgh,21.0,17.0,False,ACC,ACC
2023,8,Alabama,Tennessee,34.0,20.0,False,SEC,SEC
2023,8,Missouri,South Carolina,34.0,12.0,False,SEC,SEC
2023,8,North Dakota State,Western Illinois,52.0,7.0,False,MVFC,MVFC
2023,8,William & Mary,Towson,24.0,34.0,False,CAA,CAA
2023,8,Ball State,Central Michigan,24.0,17.0,False,Mid-American,Mid-American
2023,8,Oregon,Washington State,38.0,24.0,False,Pac-12,Pac-12
2023,8,Ferrum,Guilford College,28.0,0.0,False,Old Dominion,Old Dominion
2023,8,UConn,South Florida,21.0,24.0,False,FBS Independents,American Athletic
2023,8,West Virginia,Oklahoma State,34.0,48.0,False,Big 12,Big 12
2023,8,Kent State,Buffalo,6.0,24.0,False,Mid-American,Mid-American
2023,8,Stony Brook,New Hampshire,14.0,45.0,False,CAA,CAA
2023,8,Northern Illinois,Eastern Michigan,20.0,13.0,False,Mid-American,Mid-American
2023,8,Delta State,West Florida,21.0,24.0,False,Gulf South,Gulf South
2023,8,Claremont-Mudd-Scripps College,Redlands,31.0,17.0,False,So. Cal.,So. Cal.
2023,8,La Verne,Pomona Pitzer,7.0,20.0,False,So. Cal.,So. Cal.
2023,8,Newberry,Lenoir-Rhyne,10.0,24.0,False,South Atlantic,South Atlantic
2023,8,Houston,Texas,24.0,31.0,False,Big 12,Big 12
2023,8,Portland State,Idaho State,24.0,38.0,False,Big Sky,Big Sky
2023,8,Miami (OH),Toledo,17.0,21.0,False,Mid-American,Mid-American
2023,8,Puget Sound,Linfield College,6.0,55.0,False,Northwest,Northwest
2023,8,Mercer,Wofford,31.0,17.0,False,Southern,Southern
2023,8,Bethune-Cookman,Southern,18.0,28.0,True,SWAC,SWAC
2023,8,Bridgewater State,Westfield State,21.0,0.0,False,MSCAC,MSCAC
2023,8,Tiffin,Kentucky Wesleyan,37.0,12.0,False,Great Midwest Athletic,Great Midwest Athletic
2023,8,Pacific Lutheran,Lewis & Clark College,49.0,14.0,False,Northwest,Northwest
2023,8,Campbell,Maine,34.0,28.0,False,CAA,CAA
2023,8,UMass Dartmouth,Fitchburg State,42.0,7.0,False,MSCAC,MSCAC
2023,8,Whitworth,Pacific (OR),42.0,20.0,False,Northwest,Northwest
2023,8,Western Oregon,Midwestern State,6.0,33.0,False,Lone Star,Lone Star
2023,8,East Texas A&M,Nicholls,7.0,27.0,False,Southland,Southland
2023,8,Texas Lutheran,East Texas Baptist University,6.0,16.0,False,American Southwest,American Southwest
2023,8,West Liberty,Notre Dame College,35.0,40.0,False,Mountain East,Mountain East
2023,8,San Diego,Drake,20.0,25.0,False,Pioneer,Pioneer
2023,8,Stephen F. Austin,Abilene Christian,27.0,34.0,False,UAC,UAC
2023,8,Miles College,Allen,28.0,21.0,False,SIAC,SIAC
2023,8,Northern Iowa,North Dakota,27.0,0.0,False,MVFC,MVFC
2023,8,Buffalo State,Hilbert College,44.0,12.0,False,Liberty League,North Coast
2023,8,Edward Waters,Albany State GA,31.0,27.0,False,SIAC,SIAC
2023,8,Gardner-Webb,Eastern Kentucky,35.0,32.0,False,Big South-OVC,UAC
2023,8,West Georgia,North Greenville,38.0,14.0,False,Gulf South,Gulf South
2023,8,New Mexico,Hawai'i,42.0,21.0,False,Mountain West,Mountain West
2023,8,Florida Atlantic,UTSA,10.0,36.0,False,American Athletic,American Athletic
2023,8,North Carolina,Virginia,27.0,31.0,False,ACC,ACC
2023,8,BYU,Texas Tech,27.0,14.0,False,Big 12,Big 12
2023,8,Westminster (PA),Allegheny,27.0,17.0,False,Presidents',Presidents'
2023,8,Old Dominion,App State,28.0,21.0,False,Sun Belt,Sun Belt
2023,8,North Alabama,Utah Tech,31.0,30.0,False,UAC,UAC
2023,8,Arkansas State,Coastal Carolina,17.0,27.0,False,Sun Belt,Sun Belt
2023,8,Auburn,Ole Miss,21.0,28.0,False,SEC,SEC
2023,8,San José State,Utah State,42.0,21.0,False,Mountain West,Mountain West
2023,8,Eastern Washington,Weber State,31.0,23.0,False,Big Sky,Big Sky
2023,8,Northeastern State,Central Oklahoma,21.0,37.0,False,Mid America,Mid America
2023,8,Limestone,Catawba,27.0,16.0,False,South Atlantic,South Atlantic
2023,8,Angelo State,UT Permian Basin,23.0,28.0,False,Lone Star,Lone Star
2023,8,Northern State,Wayne State (NE),28.0,26.0,False,Northern Sun,Northern Sun
2023,8,Tarleton State,Morehead State,42.0,0.0,False,UAC,Pioneer
2023,8,Mississippi College,Chowan,38.0,21.0,False,Gulf South,Gulf South
2023,8,Geneva,Bethany (WV),45.0,20.0,False,Presidents',Presidents'
2023,8,Carnegie Mellon,Washington & Jefferson,35.0,14.0,False,Presidents',Presidents'
2023,8,UNLV,Colorado State,25.0,23.0,False,Mountain West,Mountain West
2023,8,Hendrix College,Rhodes College,50.0,49.0,False,Southern Athletic,Southern Athletic
2023,8,Kansas State,TCU,41.0,3.0,False,Big 12,Big 12
2023,8,Florida State,Duke,38.0,20.0,False,ACC,ACC
2023,8,Michigan State,Michigan,0.0,49.0,False,Big Ten,Big Ten
2023,8,LSU,Army,62.0,0.0,False,SEC,FBS Independents
2023,8,Eastern New Mexico,Texas A&M-Kingsville,14.0,35.0,False,Lone Star,Lone Star
2023,8,Miami,Clemson,28.0,20.0,False,ACC,ACC
2023,8,Texas Southern,Florida A&M,21.0,31.0,False,SWAC,SWAC
2023,8,Southern Utah,Austin Peay,45.0,48.0,False,UAC,UAC
