season,week,team,rating_linear
2022,1,Abilene Christian,1.2837104072390755
2022,1,Adams State,-1.283710407239796
2022,1,Adrian,-9.783710407239713
2022,1,Air Force,9.78371040724025
2022,1,Akron,-2.2162895927602992
2022,1,Alabama,35.85113122171951
2022,1,Alabama A&M,-23.783710407240015
2022,1,Alabama State,6.250000000000146
2022,1,Albany State GA,1.2837104072398482
2022,1,Albion,20.28371040723993
2022,1,Albright,-18.783710407239866
2022,1,Alcorn State,-22.432579185520233
2022,1,Alderson-Broaddus,-14.21628959276019
2022,1,Alfred State,-4.216289592760155
2022,1,Alfred University,-9.283710407239674
2022,1,Allegheny,-13.216289592760216
2022,1,Allen,-11.283710407239845
2022,1,Alma,7.2162895927602
2022,1,American International,-1.2837104072398455
2022,1,Anderson (IN),-13.283710407239784
2022,1,Angelo State,11.783710407239887
2022,1,App State,-13.79072398190056
2022,1,Arizona,14.716289592760141
2022,1,Arizona State,12.783710407239944
2022,1,Arkansas,-2.2162895927600808
2022,1,Arkansas State,21.78371040723992
2022,1,Arkansas Tech,2.2162895927602193
2022,1,Arkansas-Monticello,12.716289592760125
2022,1,Arkansas-Pine Bluff,-2.7162895927601687
2022,1,Army,0.7162895927605676
2022,1,Ashland,2.7837104072404077
2022,1,Assumption,-4.2162895927600665
2022,1,Auburn,22.567420814479597
2022,1,Augsburg,9.71628959276017
2022,1,Augustana (IL),-2.7162895927601234
2022,1,Augustana University (SD),12.716289592760102
2022,1,Aurora,3.7162895927601056
2022,1,Austin,-4.283710407239857
2022,1,Austin Peay,9.049622926093383
2022,1,BYU,20.216289592760106
2022,1,Baldwin Wallace,4.216289592760193
2022,1,Ball State,-18.783710407239898
2022,1,Baylor,23.78371040723976
2022,1,Belhaven,19.716289592760322
2022,1,Beloit,-7.783710407239774
2022,1,Bemidji State,-7.216289592760347
2022,1,Benedict College,13.283710407239774
2022,1,Benedictine University,22.50000000000006
2022,1,Bentley,5.2162895927602015
2022,1,Berry College,9.216289592760218
2022,1,Bethany (WV),-0.7162895927598923
2022,1,Bethel (MN),10.283710407239845
2022,1,Bethune-Cookman,-22.783710407239823
2022,1,Biddeford,9.216289592760177
2022,1,Birmingham-Southern,8.500000000000007
2022,1,Black Hills State,7.499999999999995
2022,1,Bloomsburg,-7.216289592760461
2022,1,Bluefield State,-5.216289592760803
2022,1,Bluffton,2.216289592760164
2022,1,Boise State,-2.783710407239937
2022,1,Boston College,-6.216289592760205
2022,1,Bowie State,-2.216289592760255
2022,1,Bowling Green,-8.28371040723988
2022,1,Brevard College,-25.216289592760045
2022,1,Bridgewater (VA),13.216289592760067
2022,1,Bridgewater State,-24.216289592760095
2022,1,Brockport,4.283710407239224
2022,1,Bryant,5.216289592759987
2022,1,Bucknell,-6.216289592760045
2022,1,Buena Vista,-26.716289592760354
2022,1,Buffalo,-4.783710407239994
2022,1,Buffalo State,-14.783710407239875
2022,1,Butler,-3.2162895927601767
2022,1,CSU Pueblo,21.716289592760237
2022,1,Cal Poly,-8.28371040723988
2022,1,California,4.783710407240351
2022,1,California Lutheran University,20.716289592760198
2022,1,Campbell,3.7837104072397487
2022,1,Capital,-2.783710407239826
2022,1,Carnegie Mellon,3.2837104072398517
2022,1,Carson-Newman College,-9.783710407239763
2022,1,Carthage,-20.283710407239948
2022,1,Case Western Reserve,-25.716289592759825
2022,1,Castleton,-0.7837104072397024
2022,1,Catawba,18.21628959276023
2022,1,Catholic,10.716289592759873
2022,1,Central Arkansas,-12.216289592760242
2022,1,Central College,9.783710407239822
2022,1,Central Connecticut,-20.8511312217194
2022,1,Central Michigan,-1.2837104072397043
2022,1,Central Missouri,0.21628959276020163
2022,1,Central Oklahoma,-11.783710407239742
2022,1,Central State (OH),10.00000000000007
2022,1,Central Washington,-2.283710407239438
2022,1,Centre College Kentucky,6.716289592760152
2022,1,Chadron St,-11.783710407239885
2022,1,Chapman,4.78371040723979
2022,1,Charleston Southern,-12.716289592759688
2022,1,Charlotte,-14.283710407239946
2022,1,Chattanooga,9.783710407239699
2022,1,Chicago,15.716289592760237
2022,1,Chowan,-12.716289592760148
2022,1,Christopher Newport,8.716289592760225
