season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2024,1,Lincoln (CA),College of Idaho,7.0,45.0,True,Independent DII,
2024,1,Georgia Tech,Florida State,24.0,21.0,True,ACC,ACC
2024,1,Tarleton State,McNeese,26.0,23.0,False,UAC,Southland
2024,1,New Mexico,Montana State,31.0,35.0,False,Mountain West,Big Sky
2024,1,Southeast Missouri State,North Alabama,37.0,15.0,True,Big South-OVC,UAC
2024,1,Norfolk State,Florida A&M,23.0,24.0,True,MEAC,SWAC
2024,1,Nevada,SMU,24.0,29.0,False,Mountain West,ACC
2024,1,Hawai'i,Delaware State,35.0,14.0,False,Mountain West,MEAC
2024,1,Sul Ross State,West Texas A&M,21.0,42.0,False,Lone Star,Lone Star
2024,1,Northern Michigan,Minnesota Duluth,7.0,35.0,False,GLIAC,Northern Sun
2024,1,Carson-Newman College,Reinhardt University,50.0,7.0,False,South Atlantic,
2024,1,Villanova,Youngstown State,24.0,17.0,False,CAA,MVFC
2024,1,Morehead State,Central State (OH),17.0,10.0,False,Pioneer,SIAC
2024,1,Rutgers,Howard,44.0,7.0,False,Big Ten,MEAC
2024,1,William & Mary,VMI,41.0,7.0,False,CAA,Southern
2024,1,Wake Forest,North Carolina A&T,45.0,13.0,False,ACC,CAA
2024,1,Mercer,Presbyterian,63.0,10.0,False,Southern,Pioneer
2024,1,UL Monroe,Jackson State,30.0,14.0,False,Sun Belt,SWAC
2024,1,Gardner-Webb,Wofford,20.0,21.0,False,Big South-OVC,Southern
2024,1,Buffalo,Lafayette,30.0,13.0,False,Mid-American,Patriot
2024,1,NC State,Western Carolina,38.0,21.0,False,ACC,Southern
2024,1,Central Michigan,Central Connecticut,66.0,10.0,False,Mid-American,NEC
2024,1,UCF,New Hampshire,57.0,3.0,False,Big 12,CAA
2024,1,Bowling Green,Fordham,41.0,17.0,False,Mid-American,Patriot
2024,1,Delaware,Bryant,48.0,17.0,False,CAA,CAA
2024,1,Edinboro University,East Stroudsburg University,12.0,24.0,False,Pennsylvania State Athletic,Pennsylvania State Athletic
2024,1,Northeastern State,Missouri Western,31.0,33.0,False,Independent DII,Mid America
2024,1,Wayne State (NE),Missouri S&T,49.0,17.0,False,Northern Sun,Great Lakes
2024,1,Northwest Missouri St,Minnesota State Mankato,22.0,36.0,False,Mid America,Northern Sun
2024,1,Wheeling,Mercyhurst,25.0,28.0,False,Mountain East,NEC
2024,1,University of Mary,Jamestown College,23.0,6.0,False,Northern Sun,
2024,1,Fairmont State,Seton Hill,56.0,24.0,False,Mountain East,Pennsylvania State Athletic
2024,1,Bemidji State,Michigan Tech,19.0,13.0,False,Northern Sun,GLIAC
2024,1,West Liberty,Walsh,21.0,41.0,False,Mountain East,Great Midwest Athletic
2024,1,Millersville,Clarion,7.0,36.0,False,Pennsylvania State Athletic,Pennsylvania State Athletic
2024,1,Mars Hill,Delta State,16.0,47.0,False,South Atlantic,Gulf South
2024,1,Minot State,Valley City State,38.0,7.0,False,Northern Sun,
2024,1,Drake,Quincy,0.0,0.0,False,Pioneer,Great Lakes
2024,1,Toledo,Duquesne,49.0,10.0,False,Mid-American,NEC
2024,1,Arkansas,Arkansas-Pine Bluff,70.0,0.0,True,SEC,SWAC
2024,1,Midwestern State,Missouri Southern State,18.0,11.0,False,Lone Star,Mid America
2024,1,Colorado,North Dakota State,31.0,26.0,False,Big 12,MVFC
2024,1,Missouri,Murray State,51.0,0.0,False,SEC,MVFC
2024,1,Chadron St,Nebraska-Kearney,6.0,18.0,False,Rocky Mountain,Mid America
2024,1,New Mexico Highlands,Eastern New Mexico,37.0,63.0,False,Rocky Mountain,Lone Star
2024,1,Minnesota,North Carolina,17.0,19.0,False,Big Ten,ACC
2024,1,South Dakota,Northern State,45.0,3.0,False,MVFC,Northern Sun
2024,1,Kansas,Lindenwood,48.0,3.0,True,Big 12,Big South-OVC
2024,1,Tulsa,Northwestern State,62.0,28.0,False,American Athletic,Southland
2024,1,Tulane,SE Louisiana,52.0,0.0,False,American Athletic,Southland
2024,1,UAB,Alcorn State,41.0,3.0,False,American Athletic,SWAC
2024,1,Jacksonville State,Coastal Carolina,27.0,55.0,False,Conference USA,Sun Belt
2024,1,Stephen F. Austin,North American University,77.0,0.0,False,Southland,
2024,1,St. Thomas (MN),Sioux Falls,13.0,34.0,False,Pioneer,Northern Sun
2024,1,Emporia State University,Washburn,30.0,14.0,False,Mid America,Mid America
2024,1,Fort Hays State,Angelo State,21.0,7.0,False,Mid America,Lone Star
2024,1,Texas A&M-Kingsville,Colorado Mesa,13.0,16.0,False,Lone Star,Rocky Mountain
2024,1,South Dakota Mines,CSU Pueblo,6.0,35.0,False,Rocky Mountain,Rocky Mountain
2024,1,Utah,Southern Utah,49.0,0.0,False,Big 12,UAC
2024,1,Illinois,Eastern Illinois,45.0,0.0,False,Big Ten,Big South-OVC
2024,1,Eastern Washington,Monmouth,42.0,27.0,False,Big Sky,CAA
2024,1,San José State,Sacramento State,42.0,24.0,False,Mountain West,Big Sky
2024,1,Army,Lehigh,42.0,7.0,False,American Athletic,Patriot
2024,1,Oklahoma,Temple,51.0,3.0,False,SEC,American Athletic
2024,1,Michigan State,Florida Atlantic,16.0,10.0,False,Big Ten,American Athletic
2024,1,Maine,Colgate,17.0,14.0,False,CAA,Patriot
