season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2025,1,Kansas State,Iowa State,21.0,24.0,True,Big 12,Big 12
2025,1,Nicholls,Incarnate Word,20.0,6.0,False,Southland,Southland
2025,1,UNLV,Idaho State,38.0,31.0,False,Mountain West,Big Sky
2025,1,Portland State,Tarleton State,0.0,42.0,False,Big Sky,UAC
2025,1,Kansas,Fresno State,31.0,7.0,False,Big 12,Mountain West
2025,1,Western Kentucky,Sam Houston,41.0,24.0,False,Conference USA,Conference USA
2025,1,Southern,North Carolina Central,14.0,31.0,True,SWAC,MEAC
2025,1,Hawai'i,Stanford,23.0,20.0,False,Mountain West,ACC
2025,1,Central Washington,Colorado Mesa,41.0,14.0,False,Lone Star,Rocky Mountain
2025,1,South Florida,Boise State,34.0,7.0,False,American Athletic,Mountain West
2025,1,Bowling Green,Lafayette,26.0,7.0,False,Mid-American,Patriot
2025,1,Youngstown State,Mercyhurst,24.0,15.0,False,MVFC,NEC
2025,1,Clarion,Wheeling,34.0,0.0,False,Pennsylvania State Athletic,Mountain East
2025,1,Saginaw Valley State,Northeastern State,21.0,28.0,False,GLIAC,Independent DII
2025,1,Rutgers,Ohio,34.0,31.0,False,Big Ten,Mid-American
2025,1,Marian College,Indianapolis,21.0,45.0,True,,Great Lakes
2025,1,Michigan Tech,Bemidji State,37.0,17.0,False,GLIAC,Northern Sun
2025,1,Delaware,Delaware State,35.0,17.0,False,Conference USA,MEAC
2025,1,Seton Hill,Fairmont State,21.0,24.0,False,Pennsylvania State Athletic,Mountain East
2025,1,Minnesota State Mankato,Northwest Missouri St,38.0,14.0,False,Northern Sun,Mid America
2025,1,Wilson,Virginia St,7.0,35.0,False,Carolinas,CIAA
2025,1,NC State,East Carolina,24.0,17.0,False,ACC,American Athletic
2025,1,Walsh,West Liberty,38.0,10.0,False,Great Midwest Athletic,Mountain East
2025,1,Akron,Wyoming,0.0,10.0,False,Mid-American,Mountain West
2025,1,UL Monroe,St. Francis (PA),29.0,0.0,False,Sun Belt,NEC
2025,1,Delta State,Central Missouri,31.0,23.0,False,Gulf South,Mid America
2025,1,University Of Charleston (WV),Livingstone,39.0,10.0,False,Mountain East,CIAA
2025,1,Wayne State (NE),Nebraska-Kearney,21.0,28.0,False,Northern Sun,Mid America
2025,1,Indiana State,McKendree,41.0,24.0,False,MVFC,Great Lakes
2025,1,Ferris State,Pittsburg St,34.0,17.0,False,GLIAC,Mid America
2025,1,UCF,Jacksonville State,17.0,10.0,False,Big 12,Conference USA
2025,1,Northern Michigan,Minnesota State Moorhead,37.0,44.0,False,GLIAC,Northern Sun
2025,1,St. Thomas (MN),Lindenwood,35.0,13.0,False,Pioneer,Big South-OVC
2025,1,Eastern Illinois,Dayton,24.0,14.0,False,Big South-OVC,Pioneer
2025,1,Norfolk State,Towson,7.0,27.0,False,MEAC,CAA
2025,1,East Stroudsburg University,Edinboro University,14.0,29.0,False,Pennsylvania State Athletic,Pennsylvania State Athletic
2025,1,Quincy,Concordia University St Paul,38.0,7.0,False,Great Lakes,Northern Sun
2025,1,Houston Christian,Little Rock,69.0,0.0,False,Southland,
2025,1,Duke,Elon,45.0,17.0,False,ACC,CAA
2025,1,Samford,West Georgia,3.0,34.0,False,Southern,UAC
2025,1,University of Mary,Midland Lutheran College,28.0,22.0,False,Northern Sun,
2025,1,Oklahoma State,UT Martin,27.0,7.0,False,Big 12,Big South-OVC
2025,1,Missouri,Central Arkansas,61.0,6.0,False,SEC,UAC
2025,1,Drake,Upper Iowa University,41.0,7.0,False,Pioneer,Great Lakes
2025,1,Western Colorado,West Texas A&M,45.0,28.0,False,Rocky Mountain,Lone Star
2025,1,Fort Hays State,Angelo State,7.0,28.0,False,Mid America,Lone Star
2025,1,Black Hills State,Sioux Falls,21.0,27.0,False,Rocky Mountain,Northern Sun
2025,1,Emporia State University,Minot State,27.0,7.0,False,Mid America,Northern Sun
