season,week,team,rating_linear
2024,1,Abilene Christian,7.498171846435061
2024,1,Air Force,-0.4981718464350936
2024,1,Akron,-15.001828153564919
2024,1,Alabama,23.50182815356492
2024,1,Alabama A&M,-27.00182815356492
2024,1,Alabama State,-3.4999999999999987
2024,1,Albany State GA,-8.001828153564922
2024,1,Alcorn State,-11.001828153564853
2024,1,Angelo State,0.9981718464351049
2024,1,App State,6.00182815356493
2024,1,Arizona,4.503656307129789
2024,1,Arizona State,12.501828153564894
2024,1,Arkansas,35.0
2024,1,Arkansas State,-6.4981718464351195
2024,1,Arkansas-Pine Bluff,-34.99999999999997
2024,1,Army,9.501828153564905
2024,1,Auburn,27.001828153564908
2024,1,Austin Peay,-23.001828153564883
2024,1,Ave Maria University,-11.001828153564897
2024,1,BYU,6.001828153564888
2024,1,Baylor,12.505484460694696
2024,1,Bemidji State,-4.998171846435102
2024,1,Benedict College,-7.999999999999992
2024,1,Bethune-Cookman,-14.5018281535649
2024,1,Bluefield State,-23.498171846435127
2024,1,Boise State,13.498171846435122
2024,1,Boston College,23.498171846435106
2024,1,Bowling Green,4.001828153564883
2024,1,Bryant,-7.501828153564882
2024,1,Bucknell,-6.001828153564882
2024,1,Buffalo,0.5018281535648857
2024,1,Butler,8.501828153564889
2024,1,CSU Pueblo,22.4981718464351
2024,1,Cal Poly,4.998171846435075
2024,1,California,1.001828153564873
2024,1,Campbell,-0.5018281535649075
2024,1,Carson-Newman College,13.501828153564883
2024,1,Central Arkansas,6.498171846435113
2024,1,Central Connecticut,-20.001828153564915
2024,1,Central Michigan,20.001828153564887
2024,1,Central State (OH),4.498171846435089
2024,1,Chadron St,-13.9981718464351
2024,1,Charleston Southern,-8.49817184643507
2024,1,Charlotte,-19.498171846435113
2024,1,Chattanooga,-25.00182815356492
2024,1,Cincinnati,1.0018281535648819
2024,1,Clarion,22.498171846435085
2024,1,Clark Atlanta,9.498171846435092
2024,1,Clemson,-15.500000000000018
2024,1,Coastal Carolina,21.99817184643513
2024,1,Colgate,6.498171846435107
2024,1,College of Idaho,10.665447897623386
2024,1,Colorado,-5.498171846435091
2024,1,Colorado Mesa,9.498171846435072
2024,1,Colorado State,-18.0018281535649
2024,1,Davidson,-3.001828153564952
2024,1,Dayton,-3.9981718464351146
2024,1,Delaware,7.501828153564884
2024,1,Delaware State,-2.751828153564897
2024,1,Delta State,23.498171846435092
2024,1,Drake,-7.998171846435109
2024,1,Duke,3.501828153564903
2024,1,Duquesne,-11.501828153564897
2024,1,ERSKINE,18.001828153564894
2024,1,East Carolina,13.753656307129791
2024,1,East Stroudsburg University,13.998171846435099
2024,1,East Tennessee State,-6.001828153564937
2024,1,East Texas A&M,-7.5018281535648645
2024,1,Eastern Illinois,-14.501828153564881
2024,1,Eastern Kentucky,-16.501828153564894
2024,1,Eastern Michigan,14.99817184643511
2024,1,Eastern New Mexico,20.99817184643512
2024,1,Eastern Washington,-0.4981718464350967
2024,1,Edinboro University,-13.998171846435088
2024,1,Edward Waters,16.49817184643511
2024,1,Elizabeth City State,5.998171846435132
2024,1,Elon,-3.5018281535649005
2024,1,Emory & Henry College,7.50182815356493
2024,1,Emporia State University,0.001828153564880187
2024,1,Fairmont State,8.001828153564889
2024,1,Ferris State,-0.001828153564893308
2024,1,Florida,-19.9981718464351
2024,1,Florida A&M,-8.250000000000009
2024,1,Florida Atlantic,4.998171846435102
2024,1,Florida International,-4.001828153564916
2024,1,Florida State,-7.498171846435087
2024,1,Fordham,-4.0018281535648805
2024,1,Fort Hays State,-0.9981718464350927
2024,1,Fort Lewis,-15.498171846435122
2024,1,Fort Valley State,-9.498171846435103
2024,1,Fresno State,-2.001828153564893
2024,1,Furman,-30.0018281535649
2024,1,Gardner-Webb,-8.498171846435094
2024,1,Georgetown,3.0018281535649405
2024,1,Georgia,15.5
2024,1,Georgia Southern,-13.498171846435106
2024,1,Georgia State,-11.501828153564931
2024,1,Georgia Tech,-4.498171846435088
2024,1,Glenville State,-7.501828153564925
2024,1,Grambling,-7.001828153564892
2024,1,Hampton,-8.998171846435115
2024,1,Hawai'i,2.2518281535648907
2024,1,Holy Cross,6.498171846435096
2024,1,Houston,-17.99817184643509
2024,1,Houston Christian,-12.0054844606947
2024,1,Howard,-10.501828153564897
2024,1,Idaho,2.998171846435088
2024,1,Idaho State,-3.5018281535648934
2024,1,Illinois,14.50182815356489
2024,1,Illinois State,-12.001828153564885
2024,1,Incarnate Word,2.5018281535648907
2024,1,Indiana,4.001828153564918
2024,1,Indiana State,-16.501828153564897
2024,1,Iowa,12.001828153564896
2024,1,Iowa State,1.0018281535648765
2024,1,Jackson State,-0.0018281535649092952
2024,1,Jacksonville State,-21.998171846435127
2024,1,James Madison,19.498171846435106
2024,1,Jamestown College,-0.5018281535649031
2024,1,Johnson C Smith,3.9999999999999987
2024,1,Kansas,22.499999999999986
2024,1,Kansas State,9.501828153564905
2024,1,Kennesaw State,1.9981718464351084
2024,1,Kent State,-7.50182815356488
2024,1,Kentucky,7.50182815356492
2024,1,Kentucky State,-38.998171846435135
2024,1,LSU,-3.4999999999999925
2024,1,Lafayette,-0.5018281535648862
2024,1,Lamar,4.4981718464351
2024,1,Laurinburg,-18.001828153564865
2024,1,Lehigh,-9.501828153564912
2024,1,Liberty,0.5018281535649015
2024,1,Lincoln (CA),-27.334552102376584
2024,1,Lindenwood,-22.499999999999986
2024,1,Livingstone,-23.498171846435113
2024,1,Long Island University,4.998171846435118
2024,1,Louisiana,7.0018281535648965
2024,1,Louisiana Tech,-3.998171846435095
2024,1,Louisville,23.001828153564887
2024,1,Maine,-6.498171846435109
2024,1,Mars Hill,-23.498171846435103
2024,1,Marshall,13.00182815356491
2024,1,Maryland,13.501828153564889
2024,1,Massachusetts,-14.998171846435103
2024,1,McNeese,-0.5018281535649324
2024,1,Memphis,9.251828153564967
2024,1,Mercer,18.501828153564926
2024,1,Mercyhurst,9.498171846435108
2024,1,Merrimack,0.4981718464350756
2024,1,Miami,19.99817184643511
2024,1,Miami (OH),-3.4999999999999916
2024,1,Michigan,2.0018281535648916
2024,1,Michigan State,-4.998171846435101
2024,1,Michigan Tech,4.998171846435107
2024,1,Middle Tennessee,-4.498171846435091
2024,1,Midwestern State,-4.498171846435139
2024,1,Miles College,7.498171846435114
2024,1,Millersville,-22.498171846435095
2024,1,Minnesota,-8.998171846435094
2024,1,Minnesota Duluth,21.998171846435074
2024,1,Minnesota State Mankato,14.998171846435104
2024,1,Minot State,7.501828153564895
2024,1,Mississippi State,16.501828153564905
2024,1,Mississippi Valley State,-2.0018281535649094
2024,1,Missouri,17.501828153564954
2024,1,Missouri S&T,-8.00182815356491
2024,1,Missouri Southern State,4.498171846435143
2024,1,Missouri State,5.4981718464350875
2024,1,Missouri Western,8.998171846435115
2024,1,Monmouth,0.49817184643509604
2024,1,Montana,-5.498171846435087
2024,1,Montana State,18.496343692870163
2024,1,Morehead State,-4.498171846435098
2024,1,Morehouse College,-16.498171846435095
2024,1,Morgan State,8.998171846435117
2024,1,Murray State,-17.50182815356495
2024,1,NC State,0.5018281535648926
2024,1,Navy,6.0018281535648885
2024,1,Nebraska,8.501828153564897
2024,1,Nebraska-Kearney,13.998171846435085
2024,1,Nevada,3.0018281535649014
2024,1,New Hampshire,-19.001828153564894
2024,1,New Mexico,-1.5000000000000067
2024,1,New Mexico Highlands,-20.99817184643513
2024,1,New Mexico State,-1.7481718464351417
2024,1,Nicholls,3.998171846435095
2024,1,Norfolk State,-9.249999999999968
2024,1,North Alabama,-14.751828153564967
2024,1,North American University,-30.501828153564908
2024,1,North Carolina,8.99817184643509
2024,1,North Carolina A&T,-8.001828153564905
2024,1,North Carolina Central,3.4999999999999987
2024,1,North Dakota,-1.0018281535648772
2024,1,North Dakota State,5.498171846435098
2024,1,North Texas,14.99817184643511
2024,1,Northeastern State,-8.9981718464351
2024,1,Northern Arizona,16.669104204753197
2024,1,Northern Colorado,-2.5018281535648907
2024,1,Northern Illinois,11.501828153564915
2024,1,Northern Iowa,6.00182815356489
2024,1,Northern Michigan,-21.998171846435078
2024,1,Northern State,-13.001828153564873
2024,1,Northwest Missouri St,-14.998171846435111
2024,1,Northwestern,3.499999999999989
2024,1,Northwestern State,-9.0018281535649
2024,1,Notre Dame,12.998171846435124
2024,1,Ohio,-0.0018281535649146243
2024,1,Ohio State,15.001828153564905
2024,1,Oklahoma,16.001828153564905
2024,1,Oklahoma State,4.001828153564927
2024,1,Old Dominion,5.99817184643509
2024,1,Ole Miss,30.001828153564887
2024,1,Oregon,-2.9981718464350857
2024,1,Oregon State,3.5018281535648987
2024,1,Penn State,18.998171846435078
2024,1,Pittsburg St,0.0018281535648951611
2024,1,Pittsburgh,7.501828153564883
2024,1,Portland State,-12.0018281535649
2024,1,Post University,8.500000000000032
2024,1,Prairie View A&M,-16.998171846435127
2024,1,Presbyterian,-18.501828153564915
2024,1,Purdue,16.5018281535649
2024,1,Quincy,7.998171846435111
2024,1,Reinhardt University,-13.501828153564869
2024,1,Rhode Island,-6.498171846435099
2024,1,Rice,-17.99817184643511
2024,1,Richmond,-2.501828153564881
2024,1,Robert Morris,-3.0018281535648748
2024,1,Rutgers,10.501828153564892
2024,1,SE Louisiana,-18.001828153564936
2024,1,SMU,23.998171846435078
2024,1,Sacramento State,-1.0018281535649067
2024,1,Sacred Heart,-20.748171846435106
2024,1,Sam Houston,17.99817184643511
2024,1,Samford,3.4981718464351226
2024,1,San Diego,-4.998171846435078
2024,1,San Diego State,7.501828153564872
2024,1,San José State,1.0018281535649076
2024,1,Seton Hill,-8.001828153564883
2024,1,Shaw,-5.998171846435125
2024,1,Sioux Falls,18.498171846435056
2024,1,South Alabama,-14.99817184643511
2024,1,South Carolina,-5.998171846435088
2024,1,South Carolina State,3.746343692870179
2024,1,South Dakota,13.001828153564873
2024,1,South Dakota Mines,-22.49817184643512
2024,1,South Dakota State,-4.001828153564925
2024,1,South Florida,14.50182815356488
2024,1,Southeast Missouri State,7.2481718464351514
2024,1,Southern,1.494515539305326
2024,1,Southern Illinois,-6.001828153564896
2024,1,Southern Miss,-7.5018281535649125
2024,1,Southern Utah,-16.501828153564894
2024,1,St. Francis (PA),3.998171846435121
2024,1,St. Thomas (MN),-18.498171846435056
2024,1,Stanford,-11.498171846435126
2024,1,Stephen F. Austin,30.501828153564908
2024,1,Stetson,11.00182815356491
2024,1,Stony Brook,-13.00182815356491
2024,1,Sul Ross State,-18.498171846435113
2024,1,Syracuse,0.0018281535649157141
2024,1,TCU,11.498171846435126
2024,1,Tarleton State,-13.498171846435095
2024,1,Temple,-16.001828153564905
2024,1,Tennessee,25.001828153564936
2024,1,Tennessee State,2.0018281535649094
2024,1,Tennessee Tech,4.498171846435093
2024,1,Texas,18.001828153564883
2024,1,Texas A&M,-12.998171846435124
2024,1,Texas A&M-Kingsville,-9.498171846435067
2024,1,Texas Southern,16.998171846435127
2024,1,Texas State,-4.498171846435093
2024,1,Texas Tech,-7.498171846435063
2024,1,The Citadel,8.498171846435078
2024,1,Toledo,11.501828153564894
2024,1,Towson,-1.0018281535648748
2024,1,Troy,-14.9945155393053
2024,1,Tulane,18.001828153564936
2024,1,Tulsa,9.0018281535649
2024,1,Tuskegee,-3.9999999999999947
2024,1,UAB,11.001828153564848
2024,1,UAlbany,-4.998171846435118
2024,1,UC Davis,-1.0018281535648772
2024,1,UCF,19.001828153564894
2024,1,UCLA,21.248171846435095
2024,1,UConn,-13.50182815356489
2024,1,UL Monroe,0.001828153564910385
2024,1,UNC Pembroke,-10.498171846435106
2024,1,UNLV,17.998171846435092
2024,1,USC,3.499999999999994
2024,1,UT Martin,-9.501828153564906
2024,1,UT Permian Basin,11.001828153564926
2024,1,UTEP,-8.501828153564897
2024,1,UTSA,-1.9981718464351128
2024,1,University Of Charleston (WV),23.49817184643511
2024,1,University of Mary,0.501828153564906
2024,1,Upper Iowa University,-8.501828153564897
2024,1,Utah,16.501828153564894
2024,1,Utah State,3.0018281535648756
2024,1,Utah Tech,-21.499999999999954
2024,1,VMI,-9.001828153564873
2024,1,Valdosta State,8.001828153564933
2024,1,Valley City State,-7.501828153564893
2024,1,Valparaiso,-6.0018281535648885
2024,1,Vanderbilt,-4.498171846435123
2024,1,Villanova,-4.498171846435121
2024,1,Virginia,2.501828153564882
2024,1,Virginia St,7.9999999999999964
2024,1,Virginia Tech,4.498171846435125
2024,1,Virginia Union,38.998171846435135
2024,1,Virginia University Of Lynchburg,-11.50182815356488
2024,1,Wagner,11.50182815356488
2024,1,Wake Forest,8.001828153564905
2024,1,Walsh,17.998171846435085
2024,1,Washburn,-0.0018281535648755445
2024,1,Washington,8.00182815356492
2024,1,Washington State,12.0018281535649
2024,1,Wayne State (NE),8.00182815356491
2024,1,Weber State,-8.00182815356492
2024,1,West Alabama,-7.498171846435108
2024,1,West Georgia,-3.4981718464351217
2024,1,West Liberty,-17.998171846435085
2024,1,West Texas A&M,18.498171846435113
2024,1,West Virginia,-18.998171846435078
2024,1,West Virginia Wesleyan,-8.500000000000032
2024,1,Western Carolina,-0.5018281535648915
2024,1,Western Illinois,-11.501828153564915
2024,1,Western Kentucky,-23.501828153564897
2024,1,Western Michigan,0.9981718464351347
2024,1,Western New Mexico,-11.001828153564926
2024,1,Wheeling,-9.498171846435108
2024,1,William & Mary,9.001828153564873
2024,1,William Jewell,15.498171846435131
2024,1,Wingate,10.498171846435106
2024,1,Winston-Salem,23.498171846435078
2024,1,Wisconsin,-0.9981718464351336
2024,1,Wofford,8.49817184643509
2024,1,Wyoming,-12.501828153564905
2024,1,Youngstown State,4.4981718464351195
2024,2,Abilene Christian,-23.300578034683127
2024,2,Adams State,11.96428571428424
2024,2,Adrian,11.750000000036326
2024,2,Air Force,-37.6346153846158
2024,2,Akron,139.19942196531866
2024,2,Alabama,54.69942196531751
2024,2,Alabama A&M,-60.07894736842294
2024,2,Alabama State,-12.277777777777526
2024,2,Albany State GA,-13.916666666669322
2024,2,Albion,-1.750000000007002
2024,2,Albright,-0.24999999999955583
2024,2,Alcorn State,-24.350000000000527
2024,2,Alfred State,0.7499999999969137
2024,2,Alfred University,4.249999999996719
2024,2,Allegheny,8.750000000002274
2024,2,Allen,9.83333333333634
2024,2,Alma,-8.749999999997954
2024,2,American International,6.749999999995699
2024,2,Anderson (IN),-0.7500000000032715
2024,2,Anderson (Sc),-26.300578034681926
2024,2,Angelo State,1.6428571428573058
2024,2,Anna Maria College,19.749999999999837
2024,2,App State,-32.30057803468344
2024,2,Apprentice School,11.749999999994929
2024,2,Arizona,77.1994219653173
2024,2,Arizona State,16.699421965317384
2024,2,Arkansas,5.865384615384173
2024,2,Arkansas State,-72.95161290322578
2024,2,Arkansas Tech,-4.249999999999
2024,2,Arkansas-Monticello,7.750000000005034
2024,2,Arkansas-Pine Bluff,-64.13461538461638
2024,2,Army,73.3653846153846
2024,2,Ashland,-10.249999999997634
2024,2,Assumption,-3.250000000012144
2024,2,Auburn,-1.578947368423111
2024,2,Augsburg,-14.749999999999206
2024,2,Augustana (IL),2.7500000000017506
2024,2,Augustana University (SD),-10.535714285716542
2024,2,Aurora,11.75000000000169
2024,2,Austin,2.749999999998626
2024,2,Austin Peay,-38.3005780346829
2024,2,Ave Maria University,-9.833333333328582
2024,2,Averett,0.25000000000128886
2024,2,BYU,3.6994219653169242
2024,2,Baldwin Wallace,-0.7499999999928421
2024,2,Ball State,4.699421965317019
2024,2,Baylor,7.699421965317079
2024,2,Belhaven,4.749999999995855
2024,2,Beloit,-18.75000000000415
2024,2,Bemidji State,8.964285714284625
2024,2,Benedict College,-7.300578034682989
2024,2,Benedictine University,19.25000000000802
2024,2,Bentley,7.249999999996759
2024,2,Berry College,23.75000000000834
2024,2,Bethany (WV),-8.749999999997641
2024,2,Bethel University Tennessee,5.0000000000065015
2024,2,Bethune-Cookman,6.699421965317619
2024,2,Biddeford,2.749999999988261
2024,2,Black Hills State,-0.7499999999941439
2024,2,Bloomsburg,18.000000000003734
2024,2,Bluefield State,12.048387096774855
2024,2,Bluffton,2.2499999999994094
2024,2,Boise State,9.699421965317065
2024,2,Boston College,-31.30057803468347
2024,2,Bowie State,-0.7499999999951931
2024,2,Bowling Green,-12.800578034683067
2024,2,Bridgewater (VA),-11.249999999989559
2024,2,Bridgewater State,-15.75000000000401
2024,2,Brockport,7.750000000015022
2024,2,Bryant,-8.99999999999183
2024,2,Bucknell,16.69942196531766
2024,2,Buena Vista,-19.24999999999196
2024,2,Buffalo,8.916666666667494
2024,2,Buffalo State,-7.749999999984876
2024,2,Butler,9.416666666667872
2024,2,CENTENARY,-11.499999999992802
2024,2,CSU Pueblo,64.46428571428461
2024,2,Cal Poly,-76.30057803468392
2024,2,California,16.921052631577062
2024,2,Calvin University,22.0000000000019
2024,2,Campbell,-30.300578034683486
2024,2,Carleton,-2.250000000001071
2024,2,Carnegie Mellon,34.75000000000379
2024,2,Carroll University (WI),11.749999999999082
2024,2,Carson-Newman College,15.749999999994682
2024,2,Carthage,-18.74999999999701
2024,2,Case Western Reserve,22.749999999998547
2024,2,Castleton,6.75000000000036
2024,2,Catawba,-14.74999999999965
2024,2,Catholic,3.750000000000398
2024,2,Central Arkansas,-64.45161290322594
2024,2,Central College,11.749999999998709
2024,2,Central Connecticut,-6.8005780346830065
2024,2,Central Michigan,37.6994219653165
2024,2,Central Missouri,18.642857142857196
2024,2,Central Oklahoma,30.24999999999993
2024,2,Central State (OH),-1.9999999999990852
2024,2,Central Washington,-89.30057803468377
2024,2,Centre College Kentucky,13.249999999999526
2024,2,Chadron St,-54.03571428571681
2024,2,Chapman,4.250000000003504
2024,2,Charleston Southern,-16.300578034682935
2024,2,Charlotte,40.54838709677517
2024,2,Chattanooga,-57.80057803468358
2024,2,Chicago,-6.250000000001431
2024,2,Chowan,16.583333333330536
2024,2,Christopher Newport,23.750000000001016
2024,2,Cincinnati,-3.078947368423111
2024,2,Claremont-Mudd-Scripps College,6.2499999999984315
2024,2,Clarion,18.74999999999938
2024,2,Clark Atlanta,2.3333333333356467
2024,2,Clemson,2.1994219653169154
2024,2,Coast Guard,-2.750000000012805
2024,2,Coastal Carolina,28.199421965317104
2024,2,Coe College,16.75000000000076
2024,2,Colgate,85.19942196531865
2024,2,College Of New Jersey,10.999999999999503
2024,2,College of Idaho,66.19942196531737
2024,2,Colorado,-29.800578034682992
