season,week,team,games_played,off_ppa_cum,off_success_cum,off_explosive_cum,def_ppa_cum,def_success_cum,def_explosive_cum,off_pass_ppa_cum,off_pass_success_cum,off_rush_ppa_cum,off_rush_success_cum,def_pass_ppa_cum,def_pass_success_cum,def_rush_ppa_cum,def_rush_success_cum
2024,1,Alabama,1,0.6713101824596565,0.49230769230769234,1.8654192229517153,-0.26030523640492104,0.14925373134328357,1.3837925679195786,1.2619936172263326,0.6666666666666666,0.445090994676674,0.425531914893617,-0.16173086669646786,0.17073170731707318,-0.4157494347913279,0.11538461538461539
2024,1,Western Kentucky,1,-0.26030523640492104,0.14925373134328357,1.3837925679195786,0.6713101824596565,0.49230769230769234,1.8654192229517153,-0.16173086669646786,0.17073170731707318,-0.4157494347913279,0.11538461538461539,1.2619936172263326,0.6666666666666666,0.445090994676674,0.425531914893617
2024,1,Arkansas,1,0.7892002562904246,0.7428571428571429,1.2402575527985085,-0.14565570751418078,0.2608695652173913,1.4042679065159833,0.7319312147759912,0.7297297297297297,0.8534109998066075,0.7575757575757576,0.11246668091056602,0.25925925925925924,-0.5124612068546105,0.2631578947368421
2024,1,Arkansas-Pine Bluff,1,-0.14565570751418078,0.2608695652173913,1.4042679065159833,0.7892002562904246,0.7428571428571429,1.2402575527985085,0.11246668091056602,0.25925925925925924,-0.5124612068546105,0.2631578947368421,0.7319312147759912,0.7297297297297297,0.8534109998066075,0.7575757575757576
2024,1,Alabama A&M,1,-0.19945365161084674,0.24285714285714285,1.3728300766067616,0.8857187166902176,0.6136363636363636,1.7126369625745639,0.1711576844134504,0.2777777777777778,-0.40321326171777744,0.21212121212121213,1.1301218577893637,0.5384615384615384,0.5326919573247847,0.7222222222222222
2024,1,Auburn,1,0.8857187166902176,0.6136363636363636,1.7126369625745639,-0.19945365161084674,0.24285714285714285,1.3728300766067616,1.1301218577893637,0.5384615384615384,0.5326919573247847,0.7222222222222222,0.1711576844134504,0.2777777777777778,-0.40321326171777744,0.21212121212121213
2024,1,Florida,1,-0.054250009657012134,0.4074074074074074,1.1483586584419316,0.4198449599788256,0.4782608695652174,1.2878748177133368,-0.3092937853443504,0.3448275862068966,0.24160077014030032,0.48,0.599245522919603,0.5135135135135135,0.21241305907855174,0.4375
2024,1,Miami,1,0.4198449599788256,0.4782608695652174,1.2878748177133368,-0.054250009657012134,0.4074074074074074,1.1483586584419316,0.599245522919603,0.5135135135135135,0.21241305907855174,0.4375,-0.3092937853443504,0.3448275862068966,0.24160077014030032,0.48
2024,1,Clemson,1,-0.1274414036010846,0.34615384615384615,0.7689007521038503,0.38172962457577886,0.4166666666666667,1.658027416168467,-0.13686894506433883,0.3225806451612903,-0.11352455667913791,0.38095238095238093,0.45369330540757247,0.4411764705882353,0.287623272718818,0.38461538461538464
2024,1,Georgia,1,0.38172962457577886,0.4166666666666667,1.658027416168467,-0.1274414036010846,0.34615384615384615,0.7689007521038503,0.45369330540757247,0.4411764705882353,0.287623272718818,0.38461538461538464,-0.13686894506433883,0.3225806451612903,-0.11352455667913791,0.38095238095238093
2024,1,Kentucky,1,0.36306115837543357,0.5,1.4122806510412114,-0.11888345405704023,0.3870967741935484,0.9616799899123618,0.4517052985228811,0.4444444444444444,0.29053413461843103,0.5454545454545454,-0.155407242184236,0.38095238095238093,-0.042183498989929166,0.4
2024,1,Southern Miss,1,-0.11888345405704023,0.3870967741935484,0.9616799899123618,0.36306115837543357,0.5,1.4122806510412114,-0.155407242184236,0.38095238095238093,-0.042183498989929166,0.4,0.4517052985228811,0.4444444444444444,0.29053413461843103,0.5454545454545454
2024,1,Furman,1,-0.2094827534896104,0.20634920634920634,1.3509158439159168,0.5738235853752859,0.5853658536585366,1.443180823298996,-0.19048959382884006,0.21621621621621623,-0.2365114806991682,0.19230769230769232,0.540005413132221,0.5531914893617021,0.6192365595302588,0.6285714285714286
2024,1,Ole Miss,1,0.5738235853752859,0.5853658536585366,1.443180823298996,-0.2094827534896104,0.20634920634920634,1.3509158439159168,0.540005413132221,0.5531914893617021,0.6192365595302588,0.6285714285714286,-0.19048959382884006,0.21621621621621623,-0.2365114806991682,0.19230769230769232
2024,1,Eastern Kentucky,1,-0.13846452344841104,0.35526315789473684,1.038903831725811,0.44638539103681313,0.47368421052631576,1.7133980420824126,-0.13474841060373477,0.375,-0.14259353772027358,0.3333333333333333,0.5173109564057664,0.43478260869565216,0.3984063321107565,0.5
2024,1,Mississippi State,1,0.44638539103681313,0.47368421052631576,1.7133980420824126,-0.13846452344841104,0.35526315789473684,1.038903831725811,0.5173109564057664,0.43478260869565216,0.3984063321107565,0.5,-0.13474841060373477,0.375,-0.14259353772027358,0.3333333333333333
2024,1,Missouri,1,0.31760822072336226,0.5675675675675675,0.9839494966008367,-0.39403417219610937,0.22,0.8406963490426499,0.34951766104000326,0.5,0.2839260337224634,0.6388888888888888,-0.7476844018449939,0.17647058823529413,-0.21185072055880524,0.24242424242424243
2024,1,Murray State,1,-0.39403417219610937,0.22,0.8406963490426499,0.31760822072336226,0.5675675675675675,0.9839494966008367,-0.7476844018449939,0.17647058823529413,-0.21185072055880524,0.24242424242424243,0.34951766104000326,0.5,0.2839260337224634,0.6388888888888888
2024,1,Oklahoma,1,0.26797657092938953,0.38461538461538464,1.3407689858888996,-0.2901357237101804,0.2903225806451613,1.0856480757000244,0.13583499244828773,0.25,0.3961138591534883,0.5151515151515151,-0.1795202934360646,0.3,-0.39383768959216403,0.28125
2024,1,Temple,1,-0.2901357237101804,0.2903225806451613,1.0856480757000244,0.26797657092938953,0.38461538461538464,1.3407689858888996,-0.1795202934360646,0.3,-0.39383768959216403,0.28125,0.13583499244828773,0.25,0.3961138591534883,0.5151515151515151
2024,1,Old Dominion,1,0.06941017355854644,0.3380281690140845,1.346214566223512,0.03696840498511607,0.37662337662337664,0.9477647094970714,0.14433577790232127,0.38461538461538464,0.12499319873612258,0.2903225806451613,-0.12723879091061385,0.28,0.11591417224267854,0.4230769230769231
2024,1,South Carolina,1,0.03696840498511607,0.37662337662337664,0.9477647094970714,0.06941017355854644,0.3380281690140845,1.346214566223512,-0.12723879091061385,0.28,0.11591417224267854,0.4230769230769231,0.14433577790232127,0.38461538461538464,0.12499319873612258,0.2903225806451613
2024,1,Chattanooga,1,-0.04346267718147778,0.25,1.1400176805446682,0.4956052709998016,0.6111111111111112,1.1473337353119992,0.2617335223929156,0.4230769230769231,-0.27684800626777856,0.11764705882352941,0.548045818232551,0.6304347826086957,0.44078106252919985,0.5909090909090909
2024,1,Tennessee,1,0.4956052709998016,0.6111111111111112,1.1473337353119992,-0.04346267718147778,0.25,1.1400176805446682,0.548045818232551,0.6304347826086957,0.44078106252919985,0.5909090909090909,0.2617335223929156,0.4230769230769231,-0.27684800626777856,0.11764705882352941
2024,1,Colorado State,1,-0.10951293199133293,0.3392857142857143,0.996712717729092,0.3976706286100154,0.5733333333333334,1.1865573977606607,-0.1782806976213274,0.2916666666666667,-0.05793710776883709,0.375,0.6379060306914612,0.6764705882352942,0.19845102688393831,0.4878048780487805
2024,1,Texas,1,0.3976706286100154,0.5733333333333334,1.1865573977606607,-0.10951293199133293,0.3392857142857143,0.996712717729092,0.6379060306914612,0.6764705882352942,0.19845102688393831,0.4878048780487805,-0.1782806976213274,0.2916666666666667,-0.05793710776883709,0.375
2024,1,Notre Dame,1,0.15805747695005815,0.296875,1.7710652591168683,-0.0026499919693835695,0.39705882352941174,0.8322200329579341,0.18200245905409143,0.3,0.13692955156414643,0.29411764705882354,-0.2092023729832732,0.25806451612903225,0.170407408339551,0.5135135135135135
2024,1,Texas A&M,1,-0.0026499919693835695,0.39705882352941174,0.8322200329579341,0.15805747695005815,0.296875,1.7710652591168683,-0.2092023729832732,0.25806451612903225,0.170407408339551,0.5135135135135135,0.18200245905409143,0.3,0.13692955156414643,0.29411764705882354
2024,1,Vanderbilt,1,0.29149439690320705,0.46875,1.2751437238133074,0.2609781498402477,0.421875,1.5843632321378993,0.9175409768389134,0.6666666666666666,0.04651964823271329,0.391304347826087,0.4102355635119208,0.4473684210526316,0.042832699089340856,0.38461538461538464
2024,1,Virginia Tech,1,0.2609781498402477,0.421875,1.5843632321378993,0.29149439690320705,0.46875,1.2751437238133074,0.4102355635119208,0.4473684210526316,0.042832699089340856,0.38461538461538464,0.9175409768389134,0.6666666666666666,0.04651964823271329,0.391304347826087
2024,1,LSU,1,0.24001028919761433,0.421875,1.28377082442533,0.32253221131839926,0.5517241379310345,1.103273373193528,0.4618822838269021,0.5789473684210527,-0.08426416449134473,0.19230769230769232,0.5581082779152171,0.6216216216216216,-0.09253038220932734,0.42857142857142855
2024,1,USC,1,0.32253221131839926,0.5517241379310345,1.103273373193528,0.24001028919761433,0.421875,1.28377082442533,0.5581082779152171,0.6216216216216216,-0.09253038220932734,0.42857142857142855,0.4618822838269021,0.5789473684210527,-0.08426416449134473,0.19230769230769232
2024,1,Minnesota,1,0.12724224482398958,0.38181818181818183,1.0718271813352644,-0.0341409620200245,0.328125,1.0429580372451253,0.104380983009871,0.34615384615384615,0.14773854851940624,0.41379310344827586,-0.21586751164419576,0.32,0.08235041594418785,0.3333333333333333
2024,1,North Carolina,1,-0.0341409620200245,0.328125,1.0429580372451253,0.12724224482398958,0.38181818181818183,1.0718271813352644,-0.21586751164419576,0.32,0.08235041594418785,0.3333333333333333,0.104380983009871,0.34615384615384615,0.14773854851940624,0.41379310344827586
2024,1,Florida International,1,-0.050104164276102085,0.3220338983050847,1.1135224523517673,0.33815245528266685,0.5076923076923077,1.2860007668324684,0.01969175633004729,0.34375,-0.13282525536487172,0.2962962962962963,0.39480367906835545,0.5185185185185185,0.29790026996125657,0.5
2024,1,Indiana,1,0.33815245528266685,0.5076923076923077,1.2860007668324684,-0.050104164276102085,0.3220338983050847,1.1135224523517673,0.39480367906835545,0.5185185185185185,0.29790026996125657,0.5,0.01969175633004729,0.34375,-0.13282525536487172,0.2962962962962963
