season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2022,1,Western Kentucky,Austin Peay,38,27,False,Conference USA,Atlantic Sun
2022,1,Northwestern,Nebraska,31,28,True,Big Ten,Big Ten
2022,1,Florida Memorial University,Edward Waters,39,34,True,,SIAC
2022,1,UNLV,Idaho State,52,21,False,Mountain West,Big Sky
2022,1,Jacksonville State,Stephen F. Austin,42,17,True,Atlantic Sun,Western Athletic
2022,1,Illinois,Wyoming,38,6,False,Big Ten,Mountain West
2022,1,Utah State,UConn,31,20,False,Mountain West,FBS Independents
2022,1,Florida State,Duquesne,47,7,False,ACC,NEC
2022,1,Mercer,Morehead State,63,13,False,Southern,Pioneer
2022,1,Alabama State,Howard,23,13,True,SWAC,MEAC
2022,1,Florida Atlantic,Charlotte,43,13,False,Conference USA,Conference USA
2022,1,North Carolina,Florida A&M,56,24,False,ACC,SWAC
2022,1,UTEP,North Texas,13,31,False,Conference USA,Conference USA
2022,1,New Mexico State,Nevada,12,23,False,FBS Independents,Mountain West
2022,1,Hawai'i,Vanderbilt,10,63,False,Mountain West,SEC
2022,1,New Mexico Highlands,Eastern New Mexico,18,34,False,Rocky Mountain,Lone Star
2022,1,Southern Connecticut State,Shepherd,7,48,False,Northeast 10,Pennsylvania State Athletic
2022,1,Bluefield State,Johnson C Smith,35,34,False,Independent DII,CIAA
2022,1,Akron,St. Francis (PA),30,23,False,Mid-American,NEC
2022,1,Greeneville,St. Augustine's,70,13,False,South Atlantic,CIAA
2022,1,Saginaw Valley State,West Virginia Wesleyan,72,0,False,GLIAC,Mountain East
2022,1,Clarion,West Liberty,14,21,False,Pennsylvania State Athletic,Mountain East
2022,1,Chowan,Wilson,3,17,False,CIAA,South Atlantic
2022,1,Ashland,Notre Dame College,31,14,False,Great Midwest Athletic,Mountain East
2022,1,Michigan Tech,Wisconsin-Platteville,23,13,False,GLIAC,Wisconsin
2022,1,Campbell,The Citadel,29,10,False,Big South,Southern
2022,1,Wagner,Fordham,31,48,False,NEC,Patriot
2022,1,Indiana State,North Alabama,17,14,False,MVFC,Atlantic Sun
2022,1,PennWest California,Fairmont State,35,15,False,Pennsylvania State Athletic,Mountain East
2022,1,UCF,South Carolina State,56,10,False,American Athletic,MEAC
2022,1,Florida International,Bryant,38,37,False,Conference USA,Big South
2022,1,Stony Brook,Rhode Island,14,35,False,CAA,CAA
2022,1,Gardner-Webb,Limestone,56,21,False,Big South,South Atlantic
2022,1,New Hampshire,Monmouth,31,21,False,CAA,CAA
2022,1,Toledo,Long Island University,37,0,False,Mid-American,NEC
2022,1,Tennessee,Ball State,59,10,False,SEC,Mid-American
2022,1,Lakeland,Illinois College,20,38,False,NACC,Midwest
2022,1,Minnesota Duluth,Southwest Minnesota State,31,21,False,Northern Sun,Northern Sun
2022,1,Minnesota State Moorhead,Sioux Falls,14,27,False,Northern Sun,Northern Sun
