season,week,team,games_played,off_ppa_cum,off_success_cum,off_explosive_cum,def_ppa_cum,def_success_cum,def_explosive_cum,opp_rating_mean,opp_off_ppa_cum_mean,opp_def_ppa_cum_mean
2024,1,Alabama,1,0.6713101824596565,0.4923076923076923,1.8654192229517153,-0.260305236404921,0.1492537313432835,1.3837925679195786,-23.501828153564883,-0.260305236404921,0.6713101824596565
2024,1,Western Kentucky,1,-0.260305236404921,0.1492537313432835,1.3837925679195786,0.6713101824596565,0.4923076923076923,1.8654192229517153,23.501828153564897,0.6713101824596565,-0.260305236404921
2024,1,Arkansas,1,0.7892002562904246,0.7428571428571429,1.2402575527985085,-0.1456557075141807,0.2608695652173913,1.404267906515983,-35.00000000000003,-0.1456557075141807,0.7892002562904246
2024,1,Arkansas-Pine Bluff,1,-0.1456557075141807,0.2608695652173913,1.404267906515983,0.7892002562904246,0.7428571428571429,1.2402575527985085,35.0,0.7892002562904246,-0.1456557075141807
2024,1,Alabama A&M,1,-0.1994536516108467,0.2428571428571428,1.3728300766067616,0.8857187166902176,0.6136363636363636,1.712636962574564,27.0018281535649,0.8857187166902176,-0.1994536516108467
2024,1,Auburn,1,0.8857187166902176,0.6136363636363636,1.712636962574564,-0.1994536516108467,0.2428571428571428,1.3728300766067616,-27.001828153564897,-0.1994536516108467,0.8857187166902176
2024,1,Florida,1,-0.0542500096570121,0.4074074074074074,1.1483586584419316,0.4198449599788256,0.4782608695652174,1.2878748177133368,19.9981718464351,0.4198449599788256,-0.0542500096570121
2024,1,Miami,1,0.4198449599788256,0.4782608695652174,1.2878748177133368,-0.0542500096570121,0.4074074074074074,1.1483586584419316,-19.998171846435092,-0.0542500096570121,0.4198449599788256
2024,1,Clemson,1,-0.1274414036010846,0.3461538461538461,0.7689007521038503,0.3817296245757788,0.4166666666666667,1.658027416168467,15.499999999999996,0.3817296245757788,-0.1274414036010846
2024,1,Georgia,1,0.3817296245757788,0.4166666666666667,1.658027416168467,-0.1274414036010846,0.3461538461538461,0.7689007521038503,-15.499999999999996,-0.1274414036010846,0.3817296245757788
2024,1,Kentucky,1,0.3630611583754335,0.5,1.4122806510412114,-0.1188834540570402,0.3870967741935484,0.9616799899123618,-7.501828153564924,-0.1188834540570402,0.3630611583754335
