season,week,team,rating_linear
2025,1,Abilene Christian,-7.207253886010335
2025,1,Adams State,-0.20725388601035405
2025,1,Air Force,11.207253886010367
2025,1,Akron,-11.79274611398968
2025,1,Alabama,-0.20725388601035227
2025,1,Alabama A&M,-15.70725388601035
2025,1,Alabama State,1.7927461139896423
2025,1,Albany State GA,28.792746113989605
2025,1,Alcorn State,1.7927461139896512
2025,1,Allen,3.292746113989623
2025,1,Anderson (Sc),20.29274611398965
2025,1,Angelo State,17.292746113989626
2025,1,App State,11.500000000000004
2025,1,Arizona,10.081174438687375
2025,1,Arizona State,2.7072538860103674
2025,1,Arkansas,15.70725388601034
2025,1,Arkansas State,2.207253886010341
2025,1,Arkansas-Pine Bluff,-23.207253886010342
2025,1,Army,1.499999999999981
2025,1,Auburn,13.792746113989587
2025,1,Augustana University (SD),-4.792746113989639
2025,1,Austin Peay,16.792746113989626
2025,1,BYU,17.9145077720207
2025,1,Ball State,-8.70725388601037
2025,1,Baylor,-13.792746113989597
2025,1,Bemidji State,-3.207253886010393
2025,1,Benedict College,-1.7927461139896415
2025,1,Bethune-Cookman,-9.707253886010335
2025,1,Black Hills State,-9.792746113989635
2025,1,Bluefield State,-19.792746113989665
2025,1,Boise State,-6.707253886010327
2025,1,Boston College,21.207253886010374
2025,1,Bowling Green,2.707253886010362
2025,1,Bryant,-1.2072538860103639
2025,1,Bucknell,-11.207253886010381
2025,1,Buffalo,0.2927461139896442
2025,1,Butler,-5.207253886010331
2025,1,CSU Pueblo,14.707253886010363
2025,1,Cal Poly,18.79274611398964
2025,1,California,16.292746113989622
2025,1,Campbell,1.2927461139896628
2025,1,Carson-Newman College,8.707253886010372
2025,1,Catawba,9.207253886010403
2025,1,Central Arkansas,-20.707253886010363
2025,1,Central Connecticut,-16.207253886010335
2025,1,Central Methodist,-13.707253886010342
2025,1,Central Michigan,7.792746113989658
2025,1,Central Missouri,2.792746113989609
2025,1,Central Oklahoma,-3.2072538860103896
2025,1,Central State (OH),-5.0000000000000275
2025,1,Central Washington,6.707253886010383
2025,1,Chadron St,-0.2072538860103274
2025,1,Charleston Southern,-14.207253886010378
2025,1,Charlotte,-11.499999999999993
2025,1,Chattanooga,-10.707253886010417
2025,1,Chowan,0.20725388601035238
2025,1,Cincinnati,-1.499999999999992
2025,1,Clarion,10.207253886010399
2025,1,Clark Atlanta,-1.4999999999999765
2025,1,Clemson,-10.292746113989647
2025,1,Coastal Carolina,-13.707253886010374
2025,1,Colgate,-8.29274611398962
2025,1,Colorado,-10.29274611398969
2025,1,Colorado Mesa,-6.707253886010389
2025,1,Colorado State,-1.7072538860103594
2025,1,Concord University,10.792746113989628
2025,1,Concordia University St Paul,-8.707253886010353
2025,1,Cumberland (TN),-25.707253886010378
2025,1,Davenport,11.292746113989644
2025,1,Davidson,-25.292746113989686
2025,1,Dayton,1.7927461139896468
2025,1,Delaware,2.20725388601038
2025,1,Delaware State,-2.2072538860103577
2025,1,Delta State,-2.792746113989617
2025,1,Drake,10.207253886010342
2025,1,Duke,7.207253886010329
2025,1,Duquesne,-19.20725388601035
2025,1,East Carolina,3.292746113989644
2025,1,East Stroudsburg University,-14.29274611398964
2025,1,East Tennessee State,7.207253886010369
2025,1,East Texas A&M,-7.707253886010391
2025,1,Eastern Illinois,-1.7927461139896423
2025,1,Eastern Kentucky,-10.207253886010365
2025,1,Eastern Michigan,-5.707253886010327
2025,1,Eastern New Mexico,-9.792746113989635
2025,1,Eastern Washington,1.3782383419688764
2025,1,Edinboro University,14.292746113989644
2025,1,Edward Waters,20.292746113989647
2025,1,Elizabeth City State,-0.2072538860103425
2025,1,Elon,-7.207253886010352
2025,1,Emory & Henry College,20.792746113989637
2025,1,Emporia State University,3.2072538860103887
2025,1,Fairmont State,8.292746113989676
2025,1,Fayetteville State,1.7927461139896488
2025,1,Ferris State,1.707253886010371
2025,1,Ferrum,-9.207253886010399
2025,1,Florida,20.7072538860104
2025,1,Florida A&M,-0.49999999999998884
2025,1,Florida Atlantic,-9.207253886010376
2025,1,Florida International,9.707253886010333
2025,1,Florida State,0.20725388601034617
2025,1,Fordham,-21.20725388601038
2025,1,Fort Hays State,-17.292746113989615
2025,1,Fort Lewis,-16.792746113989683
2025,1,Fort Valley State,-4.999999999999999
2025,1,Fresno State,4.749999999999938
